P001,Costruccion Hotel Palacios
P002,Construccion Casa del Lago
P003,Construccion Parque Los Venados
P004,Construccion Centro Deportivo
P005,Remodelacion Casa Hogar 
P006,Remodelacion Casa JCM
P007,Construccion Parque Hilton
P008,Diseno Plaza Gallerias
P009,Diseno Plaza Lomas
P010,Diseno Hotel Camino Real
P011,Remodelacion Estudio de Arquitectura 
P012,Diseno Escuela Miguel Aleman
P013,Construccion Casa Torre
P014,Construccion Oficinas BBVA
P015,Diseno Centro de Rehabilitacion
P016,Remodelacion Departamentos Tlalpan
P017,Diseno Puente Villa Coapa
P018,Construccion Bar Goblins
P019,Diseno Tienda Lopez
P020,Remodelacion Casa Para ver al Sol
P021,Construccion Centro Comunitario Milpa Alta
P022,Construccion Clinica ISSTE
P023,Construccion Hospital General
P024,Remodelacion Gimnasio Smart Fit
P025,Diseno Plaza de toros
P026,Diseno Museo Arte Moderno
P027,Construccion Zoologico Xochimilco
P028,Construccion Restaurante Pancho Lopez
P029,Remodelacion Soriana Villa Coapa
P030,Construccion Tienda Liverpool
P031,Diseno oficinas DIDI
P032,Remodelacion UVM Tlalpan
P033,Construccion Fantasias Miguel Xochimilco
P034,Diseno Jardin los Pinos
P035,Construccion oficinas Rappi
P036,Diseno oficinas UBER
P037,Diseno UAM Xochimilco
P038,Construccion Bodegas Parisina
P039,Diseno Casa Lagos
P040,Construccion Centro Medico Alvaro Obregon
